Address,Zip,Id,Name
821 Pacific Ave,94133,168,Greatwall Ginseng & Herbs
3633 Taraval St,94116,170,Great Highway Market
958 Geneva Ave,94112,119,GM Fish & Meat Market
5898 Mission St,94112,121,Quality Gas For Your Cash Arco AM PM 82613
3300 26th St,94110,177,Vic's Convenient Store
2999 Harrison St,94110,178,Bobs Grill & Grocery
4567 Mission St,94112,180,Jupiter Market
201 Jones St,94102,182,G & H Liquors & Grocery
301 Turk St,94102,185,TL Tobacco & Market
570 Larkin St,94102,187,Fox Market
351 California St,94104,189,CVS Pharmacy 7657
58 Leland Ave,94134,191,New Casa Maria 2
330 5th St,94107,192,Harvey's Place
2847 24th St,94110,196,Samy's Liquor
2023 Mission St,94110,197,Mi Tierra Foods Inc
471 3rd St,94107,199,Jacks Market Inc
1326 Grove St,94117,201,Divisidero Farmers' Market
1740 Ofarrell St,94115,202,Fillmore Farmers' Market
1326 9th Ave,94122,204,Inner Sunset Farmers' Market
831 Clement St,94118,206,Clement Seafood Center
1175 Columbus Ave,94133,208,Walgreens 15127
1150 Ocean Ave,94112,209,Whole Foods Market 10432
690 Market St,94104,211,7 Eleven 35663A
789 Mission St,94103,215,Target Store T-2766
221 Sansome St,94104,216,7 Eleven 35696A
701 Portola Dr,94127,218,CVS/pharmacy 1983
644 Mission St,94105,220,7 Eleven 2366 36039A
1059 Hyde St,94109,222,CVS 10080
550 Divisadero St,94117,224,Bi-Rite Market
500 Kirkham St,94122,173,Roxie Market & Deli
251 Ellis St,94102,175,Imperial Square Liquors
2824 24th St,94110,232,Five Markets
Clement St,94121,234,Clement Street Farmers Market
15 Ocean Ave,94112,236,Excelsior Community Market
908 Sutter St,94109,238,Yogi Food Market 62
479 Turk St,94102,239,Tsunami Market
2950 21st St,94110,245,El Nuevo Porvenir
3333 Mission St,94110,246,Big Lots 4340
2675 Geary Blvd,94118,248,Target T-2768
1055 Stockton St,94108,250,Vegiland Market Inc 1
1401 Baker St,94115,252,Royal Market
514 Minna St,94103,255,Singh Grocery
2444 Noriega St,94122,257,Noriega Market
505 S Van Ness Ave,94110,258,South Van Ness Brushless 302
820 Cortland Ave,94110,260,Andi's Market, LLC
2633 23rd St,94110,262,Baby Nutritional Care 24
2222 Taraval St,94116,264,7 Eleven Store 2366 20473B
1118 Stockton St,94133,265,D&T Market 1
150 7th St,94103,267,Cloud 9 Convenience Store & More
200 Leavenworth St,94102,269,Tenderloin Market And Deli
600 Monterey Blvd,94127,271,Kwik & Convenient
29 Grove St,94102,272,New York Tobacco
1416 Haight St,94117,274,Amal's Deli
1042 Polk St,94109,276,Green Apple Market
195 Pine St,94111,277,7 Eleven Store 36486A
269 14th St,94103,279,NEW STAR MARKET
378 Fillmore St,94117,227,Abe's Market
88 Spear St,94105,9,WALGREENS 07044
135 Powell St,94102,231,Walgreens 890
33 Drumm St,94111,284,Walgreens 4492
593 Ofarrell St,94102,286,Econo Market
538 Clement St,94118,288,Go Vegi, Inc. 1
2997 Folsom St,94110,291,Rubin's Market
295 Eddy St,94102,293,Red Sea Halal Market
225 Bush St,94104,296,Target 3201
153 Bacon St,94134,297,Charlies Kwik Stop Market
898 Stockton St,94108,299,Komi Food Company
2909 Mission St,94110,301,Casa Guadalupe 2
1015 Ocean Ave,94112,303,Kidane Trading
728 22nd St,94107,306,Renos Liquor
1801 Fulton St,94117,308,Fulton Food Shop
844 Jackson St,94133,309,Sun Vegi Produce, Inc 1
4992 Mission St,94112,311,Friendship Market
16 Valencia St,94103,313,Valmar Supermarket
2227 Irving St,94122,316,2227 Irving Seafood Market Inc
3675 Geary Blvd,94118,318,Chevron 1768
3060 Fillmore St,94123,320,Real Food Company 3
1288 19th Ave,94122,322,Chevron 1539
1790 Lombard St,94123,323,Chevron 1712
3052 16th St,94103,325,Nieves Cinco De Mayo Produce None
955 Market St,94103,327,CVS 10622
1300 Fitzgerald Ave,94124,328,JERUSALEM MARKET
3456 Mission St,94110,330,EL AHORRO
1979 Mission St,94103,332,WALGREENS 1126
901 Geneva Ave,94112,282,Geneva Snack Store
1630 Ocean Ave,94112,352,WALGREENS 1393
2203 Irving St,94122,295,S & B Super Market
1524 Polk St,94109,339,WALGREENS 00887
3201 Divisadero St,94123,340,WALGREENS 01403
1333 Castro St,94114,342,WALGREENS 2088
1344 Stockton St,94133,344,Walgreens 893
2298 Mission St,94110,346,CITY DISCOUNT MEAT & GROCERY MKT
845 Holloway Ave,94112,347,Cool Guys
500 Bay Shore Blvd,94124,349,A.M.S. MARKET
1800 23rd St,94107,351,M & W MARKET
2700 Mission St,94110,354,TWENTY-THIRD & MISSION PRODUCE
774 Pacific Ave,94133,356,GUM SING MARKET INC.
3020 16th St,94103,358,CASA THAI MARKET
2846 Mission St,94110,359,KING'S BAKERY
2300 16th St,94103,361,SAFEWAY  1490
22 6th St,94103,364,RITE BY GROCERY
555 9th St,94103,366,TRADER JOE'S  78
5652 Mission St,94112,369,LA LOMA 3
950 Innes Ave,94124,370,SURFSIDE LIQUOR & GROCERY
3930 Judah St,94122,371,OTHER AVENUES COMMUNITY FD STORE
1189 Potrero Ave,94110,373,WALGREENS 03711
2435 California St,94115,374,GRAND CENTRAL MARKET
1000 Potrero Ave,94110,376,ROSE DELI & GROCERY
136 McAllister St,94102,378,McAllister Liquor and Grocery
3 Masonic Ave,94118,380,TRADER JOE'S  100
3098 24th St,94110,381,W & K MARKET
1765 California St,94109,385,Whole Foods Market 10044
85 Bartlett Street,94110,136,Mission Community Market
1899 Fillmore St,94115,337,WALGREENS 2152
733 Randolph St,94132,393,NORMAN'S LIQUOR
5501 Mission St,94112,392,BROTHER'S MARKET
750 La Playa St,94121,395,Europa Express
1800 Folsom St,94103,397,Foods Co 357
1205 Stockton St,94133,398,SUN SANG MARKET
785 Ofarrell St,94109,400,T & MW MARKET
345 Williams Ave,94124,402,FOODS CO 351
1301 Market St,94103,404,WALGREEN'S 4609
500 Geary St,94102,405,WALGREENS 1283
1750 Fulton St,94117,416,Lucky 756
1023 Stanyan St,94117,419,THE REAL FOOD COMPANY
2498 Sutter St,94115,421,STEWART'S MARKET
500 Grove St,94102,424,GROVE STREET MARKET
1101 Stockton St,94133,426,LITTLE PARADISE TOO LLC
3953 Geary Blvd,94118,428,4TH & GEARY FARMERS MARKET
105 Broad St,94112,430,Anas Market
84-90 Turk St,94102,431,Tip Top Market
2965 24th St,94110,433,EL CHICO PRODUCE MARKET #4
2140 Polk St,94109,435,VPSF POLK - REAL FOODS
2456 San Bruno Ave,94134,437,LA LOMA #10
500 Ellis St,94109,438,AMIGO MARKET
1499 Thomas Ave,94124,440,FRIENDLY LIQUOR
4700 3rd St,94124,442,BAY VIEW LIQUOR
2480 San Bruno Ave,94134,443,SAN BRUNO SUPERMARKET
678 Eddy St,94109,446,GLADSTONE MARKET
1203 Polk St,94109,449,DISCOUNT GROCERS
2026 Mission St,94110,383,YANGTZE MARKET
4830 3rd St,94124,388,TORINO GROCERY MARKET
861 Divisadero St,94117,455,Transfer Market
782 Arguello Blvd,94118,456,ARGUELLO SUPER MARKET
2698 San Bruno Ave,94134,458,BUS STOP LIQUOR & DELI
2020 Market St,94114,460,SAFEWAY 1507
5290 Diamond Heights Blvd,94131,461,SAFEWAY  667
3350 Mission St,94110,463,SAFEWAY  739
730 Taraval St,94116,465,SAFEWAY  909
1901 San Jose Ave,94112,467,ROXIE FOOD CENTER
398 Ellis St,94102,468,Young Ellis Produce
801 Hayes St,94117,470,H & W GROCERY & LIQUORS
2704 Mission St,94110,472,FRESH MEAT MARKET
352 Turk St,94102,475,CENTRAL TOWERS MARKET
198 Broad St,94112,477,FAMILY MARKET
2101 Irving St,94122,479,22ND & IRVING PRODUCE 9
1335 Webster St,94115,480,SAFEWAY  995
2250 23rd St,94107,482,KANSAS FOOD MARKET
5641 Geary Blvd,94121,484,NEW WORLD MARKET
426 Castro St,94114,485,Rossi's Italian Delicatessen
1200 Fillmore St,94115,489,THIRD WORLD MARKET
300 Valencia St,94103,491,T & M Market
2598 San Jose Ave,94112,492,SAM'S MARKET
588 Haight St,94117,494,O'LOONEY'S MARKET
2539 Mission St,94110,496,EVERGREEN SUPMKT
282 9th St,94103,499,DIANA MKT 2
151 6th St,94103,501,FREDS LIQUOR & GROCERY
298 Teddy Ave,94134,503,Teddy's Grocery
828 Irving St,94122,504,828 IRVING MARKET
4555 Mission St,94112,510,CASA LUCAZ 3
2145A Geneva Ave,94134,511,M & M SHORT STOP
491 O'Farrell St,94102,514,New Supremo Pizza
1244 Market St,94102,517,Local Diner
468 Ellis St,94102,518,Chico's Pizza
87 6th St,94103,523,Supremo Pizza
288 Golden Gate Ave,94102,513,Taj Pizza
32 6th St,94103,521,Pranzo Pizza
829 Geary St,94109,524,Royalty Pizza Cafe
709 O'Farrell St,94109,526,Los Colores Taqueria
928 Geary St,94109,528,Irving Pizza
2074 Mission St,94110,531,Milan Pizza
5131 3rd St,94124,533,Golden City Inn
3030 San Bruno Ave,94134,535,Queens Louisiana
4523 Mission St,94112,536,Round Table Pizza
1 Hallidie Plaza,94102,538,Carl's Jr.
2978  16th St,94103,540,Burger King
1298 Howard St,94103,541,Burger King
1690 Valencia St,94110,543,Burger King
1701 Fillmore St,94115,545,Burger King
728 Geary St,94109,547,Pizza Hut
691 Eddy St,94109,550,KFC/Taco Bell
1881 Geary Blvd,94115,552,KFC/Taco Bell
1150 Taraval St,94116,553,KFC/Taco Bell
1900 Irving St,94122,555,KFC/Taco Bell
1610 Jerrold Ave,94124,557,KFC/Taco Bell
2040 Ocean Ave,94127,558,KFC/Taco Bell
3251 20th Avenue,94132,217,Stonestown Farmers Market
376 Larkin St,94102,563,Subway
11 3rd St,94103,565,Subway
215 Fremont St,94105,568,Subway
2001 Van Ness Ave,94109,570,Subway
160 Broadway St,94111,572,Subway
483 Sacramento St,94111,573,Subway
388 Market St,94111,575,Subway
1500 Fillmore St,94115,577,Subway
5650 Geary Blvd,94121,578,Subway
1501 Sloat Blvd,94132,580,Subway
2801 Vicente St,94116,407,SUNSET SUPER
295 Orizaba Ave,94132,409,FAIRVIEW MARKET INC
300 Bay Shore Blvd,94124,193,Bayshore Market Deli & Liquor
448 Cortland Ave,94110,411,GOOD LIFE GROCERY
2701 20th St,94110,412,NEW HAMPSHIRE MARKET
298 King St,94107,447,SAFEWAY 2606
1045 Polk St,94109,525,Napoli Pizza
459 Powell St,94102,8,WALGREENS 07043
100 Sansome St,94104,24,WALGREENS 05618
1801 San Jose Ave,94112,64,Red Sea Market
2 Ave of Palms Blvd,94130,79,Island Market Deli
199 Parnassus Ave,94117,118,Walgreens 06557
920 Van Ness Ave,94109,133,Van Ness  Market
6275 3rd St,94124,171,Upper 3rd Boutique & Market
1200 Irving St,94122,184,Andronico's Community Market 3
600 Ofarrell St,94109,226,Deena's Market
5100 Geary Blvd,94118,253,7 Eleven Store 2366 22627D
147 Mason St,94102,562,Subway
350 7th Ave,94103,363,SMART & FINAL 351
201 Turk St Ste D,94102,386,Radman's Produce Market
5843 Geary Blvd,94121,423,THOM'S NATURAL FOODS
1521 Ocean Ave,94112,451,A & N LIQUORS
888 O'Farrell St,94109,487,Bread & Butter Market
339 Eddy St,94102,506,Battambang Market
1250 Market St,94102,560,Subway
1530 Haight St,94117,16,HAIGHT STREET MARKET INC
5851 Geary Blvd,94121,59,Liberty Market Inc
265 Winston Dr,94132,82,Trader Joes 236
112 Hyde St,94102,120,SF Princess Market
564 Market Street,94104,190,7-eleven 33501
3835 Mission St,94110,228,La Loma Produce
1285 Sutter St,94109,268,CVS 10189
4501 Mission St,94112,350,EXCELSIOR LIQUOR
1515 Sloat Blvd,94132,434,Lucky 755
3001 Taraval St,94116,401,Walgreens 4570
1101 Fillmore St,94115,454,CHARLIES DRUGS
1388 46th Ave,94122,497,7-Eleven 20450B
3900 Geary Blvd,94118,546,Burger King
580 Precita Ave,94110,2,Sam's Market
498 Castro St,94114,27,WALGREENS 01327
100 Chenery St,94131,57,Chenery Market
145 Bosworth St,94112,85,New Bosworth Market
123 Eddy St,94102,114,California Grocery
2354 Clement St,94121,135,25th & Clement Produce Market 1
3216 Folsom St,94110,165,Harvest Hills Market
2690 Mission St,94110,334,Walgreens 4231
116 New Montgomery St,94105,26,WALGREENS 06291
843 Clement St,94118,235,Apple Land Co., Inc 1
240 Taylor St,94102,321,Sammys Cafe & Market
2101 Golden Gate Ave,94118,377,GOLDEN GATE CENTRAL MARKET
145 Jackson St,94111,471,SAFEWAY  4601
4150 Geary Blvd,94118,554,KFC/Taco Bell
4175 Mission St,94112,41,MANILA ORIENTAL MARKET
Marina Blvd. & Buchanan St,94123,93,San Francisco Farmers Market @ Fort Mason Center
2918 24th St,94110,159,Lo-cost Meat Market 2
50 Post St @ Montgomery,94108,212,San Francisco Farmer's Market at Crocker Galleria
4600 Mission St,94112,368,EL CHICO PRODUCE MARKET 2
401 Bay St,94133,453,TRADER JOE'S 19
43 Drumm St,94111,221,7-eleven Store 2231 33429A
707 Clement St # 719,94118,448,RICHMOND NEW MAY WAH SUPERMARKET
1939 Mission St,94103,413,FIDA MARKET
131 6th St,94103,520,Chico's Pizza
3349 Mission St,94110,548,Pizza Hut
1524 Silver Ave,94134,408,WHITE PALACE LIQUORS & DELI
30 2nd St,94105,567,Subway
2598 Folsom St,94110,281,Delicateses La Plaza
701 Ofarrell St,94109,315,Hyde & O'Farrell Market Inc
1037 Stockton St,94108,229,Mei's Groceries
2501 San Bruno Ave,94134,241,Silver Produce Inc
66 Turk St,94102,294,Tnt Market
1143 Stockton St,94133,289,SUNG LI CO, INC
1363 Divisadero St,94115,335,WALGREENS 02866
2222 Clement St,94121,390,NEW WING HING SEAFOOD MARKET
5229 Mission St,94112,498,GUZMAN'S PRODUCE MARKET, INC.
999 Oak St,94117,508,OAK FAIR MARKET
403 Eddy St,94109,529,Soul Food City Restaurant
100 Alemany Blvd,94110,4,ALEMANY FARMERS MARKET
298 Guerrero St,94103,417,Spotlite Market
2214 Clement St,94121,305,El Chico Produce Market Inc
1216 Stockton St,94133,194,Fruit Garden, Llc
49 Walter U Lum Pl,94108,243,Charming Sun Market Inc Dba Jin Yang Market